start_hex,abs_hex,end_hex,length,class,confidence,BDL_bytes,EDL_bytes,BDL_interp,EDL_interp
0x0019e,0x101d019e,0x001a0,2,u16_table,low,63 0e,94 0f,u16=[3683],u16=[3988]
0x00924,0x101d0924,0x0092b,7,float_axis,medium,21 b0 62 3f a4 70 7d,33 33 63 3f 29 5c 7f,,
0x00930,0x101d0930,0x00a68,312,u16_table,low,23 0b e4 09 6c 09 ff 08 9f 08 4c 08 04 08 86 07 2c 07 ca 06 92 06 66 06 ... (312 B),38 10 ff 0e 89 0e 1e 0e c0 0d 6f 0d 28 0d ac 0c 54 0c f4 0b bd 0b 91 0b ... (312 B),,
0x00ba2,0x101d0ba2,0x00e45,675,u16_table,low,35 00 56 00 6c 00 82 00 97 00 ad 00 c2 00 d8 00 ee 00 03 01 19 01 37 01 ... (675 B),47 00 5d 00 73 00 89 00 9f 00 b5 00 ca 00 e1 00 f6 00 0c 01 25 01 3e 01 ... (675 B),,
0x00e4a,0x101d0e4a,0x00f5e,276,u16_table,low,12 00 33 00 44 00 5e 00 85 00 b6 00 f2 00 39 01 8b 01 e7 01 50 02 e3 02 ... (276 B),35 00 46 00 62 00 8b 00 c1 00 04 01 52 01 ac 01 12 02 85 02 17 03 b2 03 ... (276 B),,
0x010a2,0x101d10a2,0x01155,179,u16_table,low,03 00 08 00 0d 00 14 00 26 00 3d 00 5a 00 7b 00 a1 00 cd 00 33 01 ae 01 ... (179 B),04 00 0a 00 13 00 1f 00 3d 00 66 00 9a 00 d7 00 1f 01 71 01 33 02 1f 03 ... (179 B),,
0x01242,0x101d1242,0x01319,215,u16_table,low,75 00 75 00 72 00 69 00 56 00 44 00 38 00 33 00 32 00 32 00 32 00 32 00 ... (215 B),8c 00 8c 00 88 00 80 00 6e 00 5c 00 52 00 4d 00 4c 00 4c 00 4c 00 4c 00 ... (215 B),,
0x01402,0x101d1402,0x01416,20,reserved_zero,high,8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02 8f 02,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,"u16=[655, 655, 655, 655, 655, 655, 655, 655, 655, 655]","u16=[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0x0144c,0x101d144c,0x0145e,18,float_table,low,00 40 00 40 00 40 00 40 00 40 00 40 00 40 00 40 00 40,9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49 9a 49,"u16=[16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384, 16384]","u16=[18842, 18842, 18842, 18842, 18842, 18842, 18842, 18842, 18842]"
0x01520,0x101d1520,0x0153c,28,u16_table,low,20 00 40 00 60 00 80 00 c0 00 00 01 40 01 00 02 00 03 c0 03 40 05 80 07 ... (28 B),10 00 20 00 30 00 40 00 60 00 80 00 a0 00 00 01 80 01 e0 01 a0 02 c0 03 ... (28 B),"u16=[32, 64, 96, 128, 192, 256, 320, 512, 768, 960, 1344, 1920, 2304, 2880]","u16=[16, 32, 48, 64, 96, 128, 160, 256, 384, 480, 672, 960, 1152, 1440]"
0x01600,0x101d1600,0x01655,85,u16_table,low,60 00 86 00 98 00 a8 00 b2 00 b6 00 b6 00 b6 00 b6 00 b6 00 b6 00 b6 00 ... (85 B),47 00 6d 00 79 00 7c 00 7c 00 7a 00 72 00 55 00 37 00 24 00 14 00 00 00 ... (85 B),,
