start_hex,start_abs_hex,end_hex,length,class,confidence,repr_values,note
0x00000,0x101d0000,0x00022,34,reserved_zero,high,0x00 × 34,may be deprecated/disabled field cleared by Ford
0x00022,0x101d0022,0x00046,36,timer_cluster,medium,"[16880, 0, 17066, 0, 16880, 0, 16880, 0, ... (18 total)]",9/18 look like timer sentinels
0x00046,0x101d0046,0x00050,10,reserved_zero,high,0x00 × 10,may be deprecated/disabled field cleared by Ford
0x00050,0x101d0050,0x00060,16,float_table,low,"[0.001, 25, 1, 50]",contiguous plausible float32s
0x00060,0x101d0060,0x0008a,42,u16_table,low,"[0, 480, 960, 1440, 0, 480, 960, 1440, ... (21 total)]",contiguous u16 values in plausible range
0x0008a,0x101d008a,0x0008c,2,unknown,low,03 3b,no classifier heuristic matched
0x0008c,0x101d008c,0x00094,8,u16_table,low,"[1, 0, 3641, 7281]",contiguous u16 values in plausible range
0x00094,0x101d0094,0x00098,4,float_scalar,low,0.000107845,standalone float32
0x00098,0x101d0098,0x000a8,16,unknown,low,1e 47 56 55 8f 63 c7 71 00 80 00 00 ...,no classifier heuristic matched
0x000a8,0x101d00a8,0x000ac,4,float_scalar,low,0.000108798,standalone float32
0x000ac,0x101d00ac,0x000b8,12,unknown,low,1c 47 55 55 8e 63 c7 71 00 80 00 00,no classifier heuristic matched
0x000b8,0x101d00b8,0x000d4,28,float_table,low,"[0.8, 0.5, 200, 10, 3.5, 0.055, ... (7 total)]",contiguous plausible float32s
0x000d4,0x101d00d4,0x000d6,2,unknown,low,66 66,no classifier heuristic matched
0x000d6,0x101d00d6,0x000ec,22,timer_cluster,medium,"[16486, 0, 16320, 0, 16880, 0, 16988, 0, ... (11 total)]",5/11 look like timer sentinels
0x000ec,0x101d00ec,0x000f6,10,reserved_zero,high,0x00 × 10,may be deprecated/disabled field cleared by Ford
0x000f6,0x101d00f6,0x000f8,2,unknown,low,20 40,no classifier heuristic matched
0x000f8,0x101d00f8,0x00148,80,float_table,low,"[0.5, 0.1, 40, 40, 250, 40, ... (20 total)]",contiguous plausible float32s
0x00148,0x101d0148,0x0014a,2,unknown,low,cd cc,no classifier heuristic matched
0x0014a,0x101d014a,0x0018c,66,timer_cluster,medium,"[15692, 0, 16800, 0, 16800, 0, 16928, 0, ... (33 total)]",16/33 look like timer sentinels
0x0018c,0x101d018c,0x00198,12,float_axis,medium,"[30, 3, 0.0126]",monotonic dec
