addr	size	has_halt_baddata	has_bad_bm	trailing_byte
01005490	332	false	true	00
0100629c	74	false	true	00
01007692	880	true	true	F5
0100a10c	358	false	true	00
0100b5e8	3438	true	false	FF
0100db98	1956	false	true	01
0100e20c	1070	false	true	00
0100e67a	34	false	true	00
0100f146	26	false	false	FF
0100f9a0	74	false	false	00
0100fa60	4	false	false	40
0100fb20	94	false	false	00
0100fd28	226	false	false	00
0101075c	226	false	false	00
01010bb8	238	false	false	00
01010df8	128	false	false	50
01010f18	34	false	true	00
01011a08	30	false	false	00
010120e8	86	false	false	00
010122bc	246	false	false	00
01012400	146	false	false	00
010128de	1744	false	true	42
01012ecc	42	false	false	00
01013798	234	false	false	00
010143a8	30	false	false	00
01014c5c	246	false	false	00
01014d88	22	false	false	00
01014e8e	756	false	false	00
010150b4	448	false	true	BF
0101586c	42	false	false	00
01015b04	198	false	false	00
0101674e	1786	false	true	00
01017728	194	false	false	00
0101782e	500	false	false	00
010190ee	1786	false	true	00
0101b8fa	206	false	false	01
0101ba36	212	false	false	69
0101bfd2	98	false	false	01
0101c1b2	98	false	false	01
0101c3b2	130	false	false	01
0101ece4	124	false	false	10
0101ee92	60	false	false	5B
0101f112	186	false	false	E1
0101f2a2	12	false	false	E5
0101f394	72	false	false	04
0101f43e	270	true	true	7C
0101f558	192	false	false	02
01020b1a	296	false	true	0F
01020bf6	36	false	false	01
0102119c	340	false	false	E1
01021470	380	false	true	D1
010219da	100	false	false	00
01022ee6	300	false	false	4A
01023012	26	false	false	48
0102358c	60	false	false	01
01024288	16	false	false	55
010242a0	16	false	false	54
010242b0	16	false	false	54
010242c0	16	false	false	54
010242d0	238	true	true	1C
010245ac	82	true	true	1C
01025318	4	false	false	01
01027036	24	true	true	51
01027074	132	false	false	81
0102718a	26	true	true	51
01027290	24	true	true	51
010272ce	136	false	false	81
010274ee	24	true	true	51
0102752c	136	false	false	81
010279de	26	true	true	7C
01027ce8	24	true	true	51
01027d26	136	false	false	81
01027f52	24	true	true	51
01027f90	136	false	false	81
0102803c	14	false	false	40
010280d4	14	false	false	40
01028a02	24	true	true	51
01028a40	136	false	false	81
01028ca2	276	true	true	50
010290ce	24	true	true	51
0102910c	136	false	false	81
01029f2c	24	true	true	51
01029f68	330	false	false	81
0102a0d6	14	false	false	40
0102a3fa	24	true	true	51
0102a438	132	false	false	81
0102a658	24	true	true	51
0102a696	132	false	false	81
0102a956	24	true	true	51
0102a994	132	false	false	81
0102aef2	24	true	true	51
0102af30	132	false	false	81
0102b188	24	true	true	51
0102b1c6	132	false	false	81
0102b30e	24	true	true	51
0102b34c	132	false	false	81
0102b518	24	true	true	51
0102b556	132	false	false	81
0102b6cc	24	true	true	51
0102b70a	132	false	false	81
0102b902	24	true	true	51
0102b940	132	false	false	81
0102bb2e	24	true	true	E2
0102bb68	110	false	false	01
0102bc94	24	true	true	51
0102bcd2	132	false	false	81
0102be1a	24	true	true	51
0102be58	132	false	false	81
0102bfa0	24	true	true	51
0102bfde	132	false	false	81
0102c35a	140	true	true	1D
0102cbdc	24	true	true	51
0102cc1a	132	false	false	81
0102cd62	24	true	true	51
0102cda0	132	false	false	81
0102d498	24	true	true	51
0102d4d6	132	false	false	81
0102d75a	16	false	false	00
0102df0c	186	false	false	2A
0102e4e4	14	false	false	B5
0102e938	46	false	false	7D
