addr	size	has_halt_baddata	has_bad_bm	trailing_byte
0100629c	74	false	true	00
01007692	880	true	true	F5
0100a10c	358	false	true	00
0100e20c	1070	false	true	00
0100e67a	34	false	true	00
0100f9a0	74	false	false	00
0100fa60	4	false	false	40
0100fb20	94	false	false	00
01010f18	34	false	true	00
010122bc	246	false	false	00
01012400	146	false	false	00
01012ecc	42	false	false	00
01014c5c	246	false	false	00
01014d88	22	false	false	00
01014e8e	756	false	false	00
010150b4	448	false	true	BF
0101586c	42	false	false	00
01015b04	198	false	false	00
01017728	194	false	false	00
0101782e	3086	false	false	00
0101ee92	60	false	false	5B
0101f112	186	false	false	E1
01020b1a	332	false	true	0F
0102718a	26	true	true	51
010279de	26	true	true	7C
0102e4e4	14	false	false	B5
01031f4a	52	false	false	01
010352fc	166	false	false	55
0103b56c	718	false	true	00
0103dadc	996	false	true	00
01042a84	214	false	true	50
0104821c	52	false	false	D2
0104b1ea	22	false	false	A1
0104b202	26	true	true	50
0105113e	170	false	false	06
01053712	220	false	false	01
01055d62	10	false	false	57
01055d86	20	false	false	E1
0105d8c4	106	false	false	5D
0105e6ee	36	false	false	E0
010608d8	28	false	false	07
01061dea	1232	false	false	81
01062dd4	42	false	false	20
01066352	174	false	false	02
010694da	24	false	false	01
0106a052	356	false	true	FE
0106cb4c	76	false	false	18
0106d52a	582	false	true	E1
0106da4a	220	false	false	00
0106ef1a	34	false	false	02
0106ef42	4	false	false	02
0106fce2	12	false	false	E1
010703ea	452	false	false	40
010718ba	138	false	true	03
01071f48	1228	false	false	BA
01072d8a	114	false	true	00
01073418	40	true	true	55
0107425a	8	true	true	51
01074282	16	true	true	4A
010748e8	248	true	true	00
0107572a	6	false	false	34
01075752	522	false	true	91
01075db8	346	false	false	01
010764a8	174	false	false	02
01077206	42	false	false	01
01077288	8	false	false	61
01077a5a	46	false	false	01
01078758	144	false	false	19
01079588	34	false	false	7D
01079c28	388	false	false	00
0107aff0	8	true	true	54
0107b52a	68	false	true	8E
0107b6dc	62	false	false	00
0107b804	124	false	true	8B
0107b8e6	72	false	false	8A
0107c576	228	false	false	B5
0107cb18	112	false	false	1B
0107cbbe	110	false	false	93
0107f274	208	false	false	4E
0107f5c4	6	false	false	70
0107f602	338	false	true	62
01080b1e	356	false	false	23
010817e0	22	true	true	1C
01081c46	252	false	false	00
01082224	114	false	false	16
010823ba	28	false	false	59
01082f26	310	false	false	08
0108348a	56	false	false	01
0108394a	164	false	false	01
01083f18	68	false	false	30
010840c2	256	false	false	71
0108501c	6	false	false	24
010869da	302	false	false	90
01087744	218	true	true	D9
010886a2	44	true	true	2A
01088d8a	44	true	true	2A
0108912c	18	false	false	98
010891ea	72	false	false	70
010892da	32	true	true	AB
01089d70	338	false	true	1D
0108ad42	240	false	false	90
0108ae74	220	false	false	90
0108b384	382	true	true	33
0108e61a	248	true	true	01
0108e976	936	true	true	01
0108fc4a	476	false	false	39
01090568	52	false	false	01
01095b16	208	false	false	80
0109625e	68	true	true	A8
01096f40	128	true	true	1F
01097138	132	false	false	71
01098656	348	true	true	40
0109a06c	80	true	true	71
0109a300	338	false	false	00
0109a6a6	150	true	true	AC
0109a9a0	90	false	true	00
0109aa5c	490	true	true	0D
0109acba	10	false	false	44
0109acf2	10	false	false	44
0109aea2	202	true	true	31
0109b222	374	false	false	C0
0109b4b0	162	false	false	5D
0109c5ce	62	false	false	7D
0109c906	806	false	false	00
0109d108	12	false	false	6E
0109ddca	74	false	false	00
0109e126	12	false	false	F4
0109e2a8	12	false	false	F8
010a048a	52	true	true	89
010a0dfa	98	true	true	7D
010a0fe8	28	false	false	63
010a2490	98	true	true	A5
010a26da	394	true	true	1D
010a33ae	22	false	false	50
010a56dc	528	true	true	6C
010a5958	48	false	false	06
010a846c	42	false	false	00
010a9974	4	false	false	E1
010a99cc	160	false	false	60
010aa9dc	146	false	false	01
010aac50	58	false	false	E1
010aaf00	4	false	false	70
010acb9e	280	true	true	40
010ad2ea	308	false	false	85
010ae43c	310	true	true	B7
010aeb62	56	false	false	01
010aebac	20	false	false	01
010aed5a	154	false	false	01
010af116	32	false	false	E8
010af9d0	278	false	true	30
010afcd8	876	false	false	20
010b1578	710	false	true	00
010b3d02	10	false	false	00
010b4cdc	36	false	false	E1
010b82e0	122	false	true	00
010b831a	2	false	false	58
010b8546	4	false	false	00
010b8e8a	208	false	false	E1
010b97b2	874	true	true	A4
010b9bb0	30	true	true	70
010ba2f0	50	true	true	70
010ba506	32	true	true	70
010ba92a	48	true	true	70
010baa90	30	true	true	A4
010babaa	52	true	true	34
010babf2	56	true	true	70
010bae2e	442	false	true	02
010bb0f2	12	false	false	E1
010bb166	272	true	true	CE
010bba42	10	false	false	0E
010bce92	162	true	true	80
010bd5ac	84	true	true	2B
010bdfa0	18	false	false	04
