# G1873791.mdx  size=1,305,312 B  records=17901
0x0000094e	pll_1
0x00000ad6	pll_2
0x00000c5e	pll_3
0x00000de6	pll_4
0x00000f6e	pll_5
0x000010f6	pll_6
0x0000127e	pll_7
0x00001406	pll_8
0x000014a3	op_cycle_1
0x000014b7	TBD - required for continuous DTCs
0x000014f5	No Sub Type Information
0x0000150e	ftb_00
0x0000152f	dtc_0000_fi_1
0x00001543	SAE Reserved - Use Not Allowed
0x00001563	dtc_0000
0x0000173b	session_01
0x00001747	defaultSession
0x000018d1	session_02
0x000018dd	programmingSession
0x00001a16	session_03
0x00001a22	extendedDiagnosticSession
0x00001ae2	Type 1
0x00001b06	routine_E000_subfield_1
0x00001b1f	RoutineType
0x00001b51	completed
0x00001b78	routine_E000_subfield_2
0x00001b91	RoutineStatus
0x00001ba9	RoutineInfo
0x00001be4	Not Supported
0x00001bfe	Supported
0x00001c25	routine_E000_subfield_3
0x00001c3e	On-Board Test ID 01
0x00001ca7	routine_E000_subfield_4
0x00001cc0	On-Board Test ID 02
0x00001d29	routine_E000_subfield_5
0x00001d42	On-Board Test ID 03
0x00001dab	routine_E000_subfield_6
0x00001dc4	On-Board Test ID 04
0x00001e2d	routine_E000_subfield_7
0x00001e46	On-Board Test ID 05
0x00001eaf	routine_E000_subfield_8
0x00001ec8	On-Board Test ID 06
0x00001f31	routine_E000_subfield_9
0x00001f4a	On-Board Test ID 07
0x00001fb3	routine_E000_subfield_10
0x00001fcd	On-Board Test ID 08
0x00002036	routine_E000_subfield_11
0x00002050	On-Board Test ID 09
0x000020b9	routine_E000_subfield_12
0x000020d3	On-Board Test ID 0A
0x0000213c	routine_E000_subfield_13
0x00002156	On-Board Test ID 0B
0x000021bf	routine_E000_subfield_14
0x000021d9	On-Board Test ID 0C
0x00002242	routine_E000_subfield_15
0x0000225c	On-Board Test ID 0D
0x000022c5	routine_E000_subfield_16
0x000022df	On-Board Test ID 0E
0x00002348	routine_E000_subfield_17
0x00002362	On-Board Test ID 0F
0x000023cb	routine_E000_subfield_18
0x000023e5	On-Board Test ID 10
0x0000244e	routine_E000_subfield_19
0x00002468	On-Board Test ID 11
0x000024d1	routine_E000_subfield_20
0x000024eb	On-Board Test ID 12
0x00002554	routine_E000_subfield_21
0x0000256e	On-Board Test ID 13
0x000025d7	routine_E000_subfield_22
0x000025f1	On-Board Test ID 14
0x0000265a	routine_E000_subfield_23
0x00002674	On-Board Test ID 15
0x000026dd	routine_E000_subfield_24
0x000026f7	On-Board Test ID 16
0x00002760	routine_E000_subfield_25
0x0000277a	On-Board Test ID 17
0x000027e3	routine_E000_subfield_26
0x000027fd	On-Board Test ID 18
0x00002866	routine_E000_subfield_27
0x00002880	On-Board Test ID 19
0x000028e9	routine_E000_subfield_28
0x00002903	On-Board Test ID 1A
0x0000296c	routine_E000_subfield_29
0x00002986	On-Board Test ID 1B
0x000029ef	routine_E000_subfield_30
0x00002a09	On-Board Test ID 1C
0x00002a72	routine_E000_subfield_31
0x00002a8c	On-Board Test ID 1D
0x00002af5	routine_E000_subfield_32
0x00002b0f	On-Board Test ID 1E
0x00002b78	routine_E000_subfield_33
0x00002b92	On-Board Test ID 1F
0x00002bfb	routine_E000_subfield_34
0x00002c15	On-Board Test ID 20
0x00002c33	Response Additional Data
0x00002c5c	routine_E000
0x00002c6a	OBD Test IDs Supported ($01 - $20)
0x00002d3e	Type 1
0x00002d62	routine_E001_subfield_1
0x00002d7b	RoutineType
0x00002dad	completed
0x00002dd4	routine_E001_subfield_2
0x00002ded	RoutineStatus
0x00002e05	RoutineInfo
0x00002e21	routine_E001
0x00002e2f	Evaporative system leak test
0x00002ef7	Type 1
0x00002f1b	routine_E002_subfield_1
0x00002f34	RoutineType
0x00002f66	completed
0x00002f8d	routine_E002_subfield_2
0x00002fa6	RoutineStatus
0x00002fbe	RoutineInfo
0x00002fda	routine_E002
0x00002fe8	Diesel Particulate Filter Regeneration
0x0000322f	session_01
0x0000323b	defaultSession
0x00003346	session_03
0x00003352	extendedDiagnosticSession
0x000033a0	nrc_13
0x000033a8	incorrectMessageLengthOrInvalidFormat
0x000033e6	nrc_31
0x000033ee	requestOutOfRange
0x00003418	nrc_7E
0x00003420	subFunctionNotSupportedInActiveSession
0x00003461	service_01
