# G2043631.mdx  size=369,503 B  records=6562
0x00000864	iocp0
0x0000086b	returnControlToECU
0x00000889	iocp3
0x00000890	shortTermAdjustment
0x000009be	session_03
0x000009ca	extendedDiagnosticSession
0x000009ec	service_27_sf_03
0x000009fe	requestSeed
0x00000a2a	service_27_sf_04
0x00000a3c	sendKey
0x00000a49	Used for I/O control
0x00000a5f	security_03
0x00000a6c	Send Key (Security Level 0x03)
0x00000ab4	service_2F_p4_max_00
0x00000ae6	service_2F_params_1
0x00000b1e	nrc_11
0x00000b26	serviceNotSupported
0x00000b52	nrc_13
0x00000b5a	incorrectMessageLengthOrInvalidFormat
0x00000b98	nrc_31
0x00000ba0	requestOutOfRange
0x00000bca	nrc_7F
0x00000bd2	serviceNotSupportedInActiveSession
0x00000c0f	service_2F
0x00000c1b	InputOutputControlByIdentifier
0x00000e39	session_01
0x00000e45	defaultSession
0x00000e5e	service_22_p4_max_00
0x00000fd1	session_02
0x00000fdd	programmingSession
0x00000ff6	service_22_p4_max_01
0x0000106b	nrc_14
0x00001073	responseTooLong
0x0000109b	nrc_22
0x000010a3	conditionsNotCorrect
0x000010de	nrc_86
0x000010e6	temperatureTooHigh
0x00001111	nrc_87
0x00001119	temperatureTooLow
0x00001143	nrc_88
0x0000114b	vehicleSpeedTooHigh
0x00001177	nrc_92
0x0000117f	voltageTooHigh
0x000011a6	nrc_93
0x000011ae	voltageTooLow
0x000011d6	service_22
0x000011e2	ReadDataByIdentifier
0x0000127b	None Of The Buttons Is Pressed
0x0000129b	did_05de_subfield_1_data_def_enum_1
0x000012ca	Button #1 Is Pressed
0x000012e0	did_05de_subfield_1_data_def_enum_2
0x0000130f	Button #2 Is Pressed
0x00001325	did_05de_subfield_1_data_def_enum_3
0x00001354	Button #3 Is Pressed
0x0000136a	did_05de_subfield_1_data_def_enum_4
0x00001399	Button #1 Is Stuck
0x000013ad	did_05de_subfield_1_data_def_enum_5
0x000013dc	Button #2 Is Stuck
0x000013f0	did_05de_subfield_1_data_def_enum_6
0x0000141f	Button #3 Is Stuck
0x00001433	did_05de_subfield_1_data_def_enum_7
0x00001462	Input Circuit Voltage Is Settled In A Dead Band Range That It Should Not Settle In
0x000014b6	did_05de_subfield_1_data_def_enum_8
0x000014e5	Noisy - Input Circuit Voltage Is Not Settling Into Any Of The Other States Of This DID
0x0000153d	did_05de_subfield_1_data_def_enum_9
0x0000156c	Input Circuit Voltage Is Out Of Range - Low
0x00001599	did_05de_subfield_1_data_def_enum_10
0x000015c9	Input Circuit Voltage Is Out Of Range - High
0x000015f7	did_05de_subfield_1_data_def_enum_11
0x0000162a	did_05de_subfield_1_data_def
0x00001655	did_05DE_subfield_1
0x0000166a	Driver Mode Select Switch Input State
0x00001699	did_05DE
0x000016a3	Driver Mode Select Switch Input State
0x00001777	did_402a_subfield_1_data_def
0x000017a2	did_402A_subfield_1
0x000017b7	Vehicle Battery Voltage
0x000017d8	did_402A
0x000017e2	Vehicle Battery Voltage
0x0000188b	did_4114_subfield_1_data_def
0x000018b6	did_4114_subfield_1
0x000018cb	Steering Wheel Heater feedback
0x000018f3	did_4114
0x000018fd	Steering Wheel Heater feedback
0x000019a4	Off
0x000019a9	did_4128_subfield_1_data_def_enum_1
0x000019d8	On
0x000019dc	did_4128_subfield_1_data_def_enum_2
0x00001a0e	did_4128_subfield_1_data_def
0x00001a39	did_4128_subfield_1
0x00001a4e	Cruise Set + Switch
0x00001a88	False
0x00001a8f	did_4128_subfield_2_data_def_enum_1
0x00001abe	True
0x00001ac4	did_4128_subfield_2_data_def_enum_2
0x00001af6	did_4128_subfield_2_data_def
0x00001b21	did_4128_subfield_2
0x00001b36	Cruise Switch Null State -Cruise Control Multi-Function Input A
0x00001ba0	did_4128_subfield_3_data_def_enum_1
0x00001bd3	did_4128_subfield_3_data_def_enum_2
0x00001c05	did_4128_subfield_3_data_def
0x00001c30	did_4128_subfield_3
0x00001c45	Cruise Resume Switch
0x00001c84	did_4128_subfield_4_data_def_enum_1
0x00001cb7	did_4128_subfield_4_data_def_enum_2
0x00001ce9	did_4128_subfield_4_data_def
0x00001d14	did_4128_subfield_4
0x00001d29	Cruise Cancel Switch
0x00001d68	did_4128_subfield_5_data_def_enum_1
0x00001d9b	did_4128_subfield_5_data_def_enum_2
0x00001dcd	did_4128_subfield_5_data_def
0x00001df8	did_4128_subfield_5
0x00001e0d	Cruise On/Off/Cancel Switch
0x00001e53	did_4128_subfield_6_data_def_enum_1
0x00001e86	did_4128_subfield_6_data_def_enum_2
0x00001eb8	did_4128_subfield_6_data_def
0x00001ee3	did_4128_subfield_6
0x00001ef8	Cruise On/Off Switch
0x00001f37	did_4128_subfield_7_data_def_enum_1
0x00001f6a	did_4128_subfield_7_data_def_enum_2
0x00001f9c	did_4128_subfield_7_data_def
0x00001fc7	did_4128_subfield_7
0x00001fdc	Cruise Off Switch
0x00002018	did_4128_subfield_8_data_def_enum_1
0x0000204b	did_4128_subfield_8_data_def_enum_2
0x0000207d	did_4128_subfield_8_data_def
0x000020a8	did_4128_subfield_8
0x000020bd	Cruise On Switch
0x000020f4	No
0x000020f8	did_4128_subfield_9_data_def_enum_1
0x00002127	Yes
0x0000212c	did_4128_subfield_9_data_def_enum_2
0x0000215e	did_4128_subfield_9_data_def
0x00002189	did_4128_subfield_9
0x0000219e	Cruise Control Circuit Switch Fault
0x000021ec	did_4128_subfield_10_data_def_enum_1
0x00002220	did_4128_subfield_10_data_def_enum_2
0x00002253	did_4128_subfield_10_data_def
0x0000227f	did_4128_subfield_10
0x00002295	Adaptive Speed Limiter Device (ASLD) On/Off Switch
0x000022f2	did_4128_subfield_11_data_def_enum_1
0x00002326	did_4128_subfield_11_data_def_enum_2
0x00002359	did_4128_subfield_11_data_def
0x00002385	did_4128_subfield_11
0x0000239b	Cruise Cancel Resume Switch
0x000023e1	did_4128_subfield_12_data_def_enum_1
0x00002415	did_4128_subfield_12_data_def_enum_2
0x00002448	did_4128_subfield_12_data_def
0x00002474	did_4128_subfield_12
0x0000248a	Cruise Gap Switch
0x000024c6	did_4128_subfield_13_data_def_enum_1
0x000024fa	did_4128_subfield_13_data_def_enum_2
0x0000252d	did_4128_subfield_13_data_def
0x00002559	did_4128_subfield_13
0x0000256f	Cruise Time Gap minus Switch
0x000025b6	did_4128_subfield_14_data_def_enum_1
0x000025ea	did_4128_subfield_14_data_def_enum_2
0x0000261d	did_4128_subfield_14_data_def
0x00002649	did_4128_subfield_14
0x0000265f	Cruise Time Gap + Switch
0x000026a2	did_4128_subfield_15_data_def_enum_1
0x000026d6	did_4128_subfield_15_data_def_enum_2
0x00002709	did_4128_subfield_15_data_def
0x00002735	did_4128_subfield_15
0x0000274b	Cruise Set - Switch
0x00002789	did_4128_subfield_16_data_def_enum_1
0x000027bd	did_4128_subfield_16_data_def_enum_2
0x000027f0	did_4128_subfield_16_data_def
0x0000281c	did_4128_subfield_16
0x00002832	Traffic Jam Assist Switch
0x00002855	did_4128
0x0000285f	Cruise control switches
0x00002907	did_4199_subfield_1_data_def
0x00002932	did_4199_subfield_1
0x00002947	Steering Wheel Temperature - Raw
0x00002971	did_4199
0x0000297b	Steering Wheel Temperature - Raw
0x00002a24	Not Pressed
0x00002a31	did_41fa_subfield_1_data_def_enum_1
0x00002a60	Pressed
0x00002a69	did_41fa_subfield_1_data_def_enum_2
0x00002a98	Unused
0x00002aa0	did_41fa_subfield_1_data_def_enum_3
0x00002acf	Invalid
0x00002ad8	did_41fa_subfield_1_data_def_enum_4
0x00002b0a	did_41fa_subfield_1_data_def
0x00002b35	did_41FA_subfield_1
0x00002b4a	Lane Assist Switch Status
0x00002b6d	did_41FA
0x00002b77	Lane Assist Switch Status
0x00002c21	did_42a4_subfield_1_data_def
0x00002c4c	did_42A4_subfield_1
0x00002c61	Steering Wheel Heater Current
0x00002c88	did_42A4
0x00002c92	Steering Wheel Heater Current
0x00002d3c	did_7150_subfield_1_data_def_enum_1
0x00002d6f	did_7150_subfield_1_data_def_enum_2
0x00002da1	did_7150_subfield_1_data_def
0x00002dcc	did_7150_subfield_1
0x00002de1	Autolights Switch
0x00002e1d	did_7150_subfield_2_data_def_enum_1
0x00002e50	did_7150_subfield_2_data_def_enum_2
0x00002e82	did_7150_subfield_2_data_def
0x00002ead	did_7150_subfield_2
0x00002ec2	Flash to Pass Switch
0x00002f01	did_7150_subfield_3_data_def_enum_1
0x00002f34	did_7150_subfield_3_data_def_enum_2
0x00002f66	did_7150_subfield_3_data_def
0x00002f91	did_7150_subfield_3
0x00002fa6	Headlamp High Beam Switch
0x00002fea	did_7150_subfield_4_data_def_enum_1
0x0000301d	did_7150_subfield_4_data_def_enum_2
0x0000304f	did_7150_subfield_4_data_def
0x0000307a	did_7150_subfield_4
0x0000308f	Headlamp Low Beam Switch
0x000030d2	did_7150_subfield_5_data_def_enum_1
0x00003105	did_7150_subfield_5_data_def_enum_2
0x00003137	did_7150_subfield_5_data_def
0x00003162	did_7150_subfield_5
0x00003177	Sidelights Switch
0x000031b3	did_7150_subfield_6_data_def_enum_1
0x000031e6	did_7150_subfield_6_data_def_enum_2
0x00003218	did_7150_subfield_6_data_def
0x00003243	did_7150_subfield_6
0x00003258	Hazard Warning Switch
0x00003298	did_7150_subfield_7_data_def_enum_1
0x000032cb	did_7150_subfield_7_data_def_enum_2
0x000032fd	did_7150_subfield_7_data_def
0x00003328	did_7150_subfield_7
0x0000333d	Direction Indicator Switch Right Hand
0x0000338d	did_7150_subfield_8_data_def_enum_1
0x000033c0	did_7150_subfield_8_data_def_enum_2
0x000033f2	did_7150_subfield_8_data_def
0x0000341d	did_7150_subfield_8
0x00003432	Direction Indicator Switch Left Hand
0x00003481	did_7150_subfield_9_data_def_enum_1
0x000034b4	did_7150_subfield_9_data_def_enum_2
0x000034e6	did_7150_subfield_9_data_def
0x00003511	did_7150_subfield_9
0x00003526	Direction Indicator Switch Right Hand Lane Change
0x00003582	did_7150_subfield_10_data_def_enum_1
0x000035b6	did_7150_subfield_10_data_def_enum_2
0x000035e9	did_7150_subfield_10_data_def
0x00003615	did_7150_subfield_10
0x0000362b	Direction Indicator Switch Left Hand Lane Change
0x00003686	did_7150_subfield_11_data_def_enum_1
0x000036ba	did_7150_subfield_11_data_def_enum_2
0x000036ed	did_7150_subfield_11_data_def
0x00003719	did_7150_subfield_11
0x0000372f	Brake Lamp Switch
0x0000376b	did_7150_subfield_12_data_def_enum_1
0x0000379f	did_7150_subfield_12_data_def_enum_2
0x000037d2	did_7150_subfield_12_data_def
0x000037fe	did_7150_subfield_12
0x00003814	Special Vehicle Function
0x00003857	did_7150_subfield_13_data_def_enum_1
0x0000388b	did_7150_subfield_13_data_def_enum_2
0x000038be	did_7150_subfield_13_data_def
0x000038ea	did_7150_subfield_13
0x00003900	Auxiliary Driving Lamp Switch
0x00003927	did_7150
0x00003931	External Lighting System Input Signal Status
0x000039e8	Left Arrow Released
0x000039fd	did_803c_subfield_1_data_def_enum_1
0x00003a2c	Left Arrow Pressed
0x00003a40	did_803c_subfield_1_data_def_enum_2
0x00003a6f	Left Arrow Hold Short
0x00003a86	did_803c_subfield_1_data_def_enum_3
0x00003ab5	Left Arrow Hold Long
0x00003acb	did_803c_subfield_1_data_def_enum_4
0x00003afd	did_803c_subfield_1_data_def
0x00003b28	did_803C_subfield_1
0x00003b3d	Left Arrow
0x00003b6e	Right Arrow Released
0x00003b84	did_803c_subfield_2_data_def_enum_1
0x00003bb3	Right Arrow Pressed
0x00003bc8	did_803c_subfield_2_data_def_enum_2
0x00003bf7	Right Arrow Hold Short
0x00003c0f	did_803c_subfield_2_data_def_enum_3
0x00003c3e	Right Arrow Hold Long
0x00003c55	did_803c_subfield_2_data_def_enum_4
0x00003c87	did_803c_subfield_2_data_def
0x00003cb2	did_803C_subfield_2
0x00003cc7	Right Arrow
0x00003cf9	Up Arrow Relelased
0x00003d0d	did_803c_subfield_3_data_def_enum_1
0x00003d3c	Up Arrow Pressed
0x00003d4e	did_803c_subfield_3_data_def_enum_2
0x00003d7d	Up Arrow Hold Short
0x00003d92	did_803c_subfield_3_data_def_enum_3
0x00003dc1	Up Arrow Hold Long
0x00003dd5	did_803c_subfield_3_data_def_enum_4
0x00003e07	did_803c_subfield_3_data_def
0x00003e32	did_803C_subfield_3
0x00003e47	Up Arrow
0x00003e76	Down Arrow Released
0x00003e8b	did_803c_subfield_4_data_def_enum_1
0x00003eba	Down Arrow Pressed
0x00003ece	did_803c_subfield_4_data_def_enum_2
0x00003efd	Down Arrow Hold Short
0x00003f14	did_803c_subfield_4_data_def_enum_3
0x00003f43	Down Arrow Hold Long
0x00003f59	did_803c_subfield_4_data_def_enum_4
0x00003f8b	did_803c_subfield_4_data_def
0x00003fb6	did_803C_subfield_4
0x00003fcb	Down Arrow
0x00003ffc	Ok Button Released
0x00004010	did_803c_subfield_5_data_def_enum_1
0x0000403f	Ok Button Pressed
0x00004052	did_803c_subfield_5_data_def_enum_2
0x00004081	Ok Button Hold Short
0x00004097	did_803c_subfield_5_data_def_enum_3
0x000040c6	Ok Button Hold Long
0x000040db	did_803c_subfield_5_data_def_enum_4
0x0000410d	did_803c_subfield_5_data_def
0x00004138	did_803C_subfield_5
0x0000414d	Ok Button
0x00004176	did_803c_subfield_6_data_def
0x000041a1	did_803C_subfield_6
0x000041b6	Unused 1
0x000041de	did_803c_subfield_7_data_def
0x00004209	did_803C_subfield_7
0x0000421e	Unused 2
0x00004246	did_803c_subfield_8_data_def
0x00004271	did_803C_subfield_8
0x00004286	Unused 3
0x00004298	did_803C
0x000042a2	Left Cursor Buttons
0x00004340	Inactive
0x0000434a	did_833c_subfield_1_data_def_enum_1
0x00004379	Active
0x00004381	did_833c_subfield_1_data_def_enum_2
0x000043b3	did_833c_subfield_1_data_def
0x000043de	did_833C_subfield_1
0x000043f3	Volume + Switch
0x0000442d	did_833c_subfield_2_data_def_enum_1
0x00004460	did_833c_subfield_2_data_def_enum_2
0x00004492	did_833c_subfield_2_data_def
0x000044bd	did_833C_subfield_2
0x000044d2	Volume - Switch
0x0000450c	did_833c_subfield_3_data_def_enum_1
0x0000453f	did_833c_subfield_3_data_def_enum_2
0x00004571	did_833c_subfield_3_data_def
0x0000459c	did_833C_subfield_3
0x000045b1	Media Button
0x000045e8	did_833c_subfield_4_data_def_enum_1
0x0000461b	did_833c_subfield_4_data_def_enum_2
0x0000464d	did_833c_subfield_4_data_def
0x00004678	did_833C_subfield_4
0x0000468d	Voice Switch
0x000046c4	did_833c_subfield_5_data_def_enum_1
0x000046f7	did_833c_subfield_5_data_def_enum_2
0x00004729	did_833c_subfield_5_data_def
0x00004754	did_833C_subfield_5
0x00004769	Seek + Switch
0x000047a1	did_833c_subfield_6_data_def_enum_1
0x000047d4	did_833c_subfield_6_data_def_enum_2
0x00004806	did_833c_subfield_6_data_def
0x00004831	did_833C_subfield_6
0x00004846	Seek - Switch
0x0000487e	did_833c_subfield_7_data_def_enum_1
