# G2043847.mdx  size=430,905 B  records=6681
0x0000088b	Type 2
0x00000893	routine_0202_results_resp_param__param_0_resp_sub_item_bit_1_data_def_enum_1
0x000008ee	routine_0202_results_resp_param__param_0_resp_sub_item_bit_1_data_def
0x00000942	routine_0202_results_resp_param__param_0_resp_sub_item_bit_1
0x00000980	RoutineType
0x000009b2	completed
0x000009bd	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_1
0x00000a15	aborted
0x00000a1e	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_2
0x00000a76	active
0x00000a7e	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_3
0x00000ad9	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2_data_def
0x00000b2d	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2
0x00000b6b	RoutineStatus
0x00000b83	RoutineInfo
0x00000bc2	routine_0202_results_resp_param__param_1_resp_sub_item_bit_1_data_def
0x00000c16	routine_0202_results_resp_param__param_1_resp_sub_item_bit_1
0x00000c54	On-Demand DTCs
0x00000c6f	Response Additional Data
0x00000cd3	routine_0202_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00000d24	routine_0202_param_1_start_resp_1_routinetype_resp_data_def
0x00000d6e	routine_0202_param_1_start_resp_1_subfield_1
0x00000d9c	RoutineType
0x00000dd2	routine_0202_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x00000e26	routine_0202_param_1_start_resp_1_routinestatus_resp_data_def_enum_2
0x00000e7a	routine_0202_param_1_start_resp_1_routinestatus_resp_data_def_enum_3
0x00000ecd	routine_0202_param_1_start_resp_1_routinestatus_resp_data_def
0x00000f19	routine_0202_param_1_start_resp_1_subfield_2
0x00000f47	RoutineStatus
0x00000fad	routine_0202_stop_resp__routinetype_resp_data_def_enum_1
0x00000ff4	routine_0202_stop_resp__routinetype_resp_data_def
0x00001034	routine_routine_0202_stop_resp_0_stop_resp_1_subfield_1
0x0000106d	RoutineType
0x000010a3	routine_0202_stop_resp__routinestatus_resp_data_def_enum_1
0x000010ed	routine_0202_stop_resp__routinestatus_resp_data_def_enum_2
0x00001137	routine_0202_stop_resp__routinestatus_resp_data_def_enum_3
0x00001180	routine_0202_stop_resp__routinestatus_resp_data_def
0x000011c2	routine_routine_0202_stop_resp_0_stop_resp_1_subfield_2
0x000011fb	RoutineStatus
0x00001225	routine_0202
0x00001233	On-Demand Self-Test
0x000012f8	routine_routine_0301_start_req_1_subfield_1_bit_0_req_data_def
0x00001345	routine_routine_0301_start_req_1_subfield_1
0x00001372	Memory Address
0x0000138b	Request Additional Data
0x000013e0	Type 1
0x000013e8	routine_0301_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00001439	routine_0301_param_1_start_resp_1_routinetype_resp_data_def
0x00001483	routine_0301_param_1_start_resp_1_subfield_1
0x000014b1	RoutineType
0x000014e3	completed
0x000014ee	routine_0301_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x00001541	routine_0301_param_1_start_resp_1_routinestatus_resp_data_def
0x0000158d	routine_0301_param_1_start_resp_1_subfield_2
0x000015bb	RoutineStatus
0x000015d3	RoutineInfo
0x000015fb	routine_0301
0x00001609	Activate Secondary Boot-loader
0x000016ec	Type 1
0x000016f4	routine_0304_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00001745	routine_0304_param_1_start_resp_1_routinetype_resp_data_def
0x0000178f	routine_0304_param_1_start_resp_1_subfield_1
0x000017bd	RoutineType
0x000017ef	completed
0x000017fa	routine_0304_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x0000184d	routine_0304_param_1_start_resp_1_routinestatus_resp_data_def
0x00001899	routine_0304_param_1_start_resp_1_subfield_2
0x000018c7	RoutineStatus
0x000018df	RoutineInfo
0x0000191a	Valid Application Software is NOT Present
0x00001945	routine_0304_param_2_start_resp_1_application_status_resp_data_def_enum_1
0x0000199a	Valid Application Software is Present
0x000019c1	routine_0304_param_2_start_resp_1_application_status_resp_data_def_enum_2
0x00001a19	routine_0304_param_2_start_resp_1_application_status_resp_data_def
0x00001a6a	routine_0304_param_2_start_resp_1_subfield_1
0x00001a98	Application Status
0x00001ab5	Response Additional Data
0x00001aea	routine_0304
0x00001af8	Check Valid Application
0x00001bc7	routine_routine_ff00_start_req_1_subfield_1_bit_0_req_data_def
0x00001c14	routine_routine_FF00_start_req_1_subfield_1
0x00001c41	Memory Address
0x00001c6f	routine_routine_ff00_start_req_1_subfield_2_bit_1_req_data_def
0x00001cbc	routine_routine_FF00_start_req_1_subfield_2
0x00001ce9	Memory Size
0x00001cff	Request Additional Data
0x00001d54	Type 1
0x00001d5c	routine_ff00_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00001dad	routine_ff00_param_1_start_resp_1_routinetype_resp_data_def
0x00001df7	routine_FF00_param_1_start_resp_1_subfield_1
0x00001e25	RoutineType
0x00001e57	completed
