# G2159042.mdx  size=116,768 B  records=1773
0x0000084e	All Terrain Control Module
0x00000876	ATCM
0x000008dc	op_cycle_1
0x000008f0	FAIL: If VBAT < 8V PASS: If VBAT >= 8V
0x00000919	10 seconds
0x0000093f	Circuit Voltage Below Threshold
0x00000960	ftb_16
0x00000980	Pin 1 (Ignition)
0x00000992	dtc_91D9_fi_0
0x000009ee	FAIL: If VBAT >16V PASS: If VBAT <= 16V
0x00000a36	Circuit Voltage Above Threshold
0x00000a57	ftb_17
0x00000a7b	dtc_91D9_fi_1
0x00000a8f	Vehicle Battery
0x00000aa0	dtc_91D9
0x00000b1c	op_cycle_1
0x00000b2c	Indication for all Indicators set to off.
0x00000b57	No active Indicators
0x00000b6d	Message ID: 0x263 Pass - Message is Recieved Fail - Message times out (After 5 Seconds)
0x00000bc7	5 seconds
0x00000bec	No Sub Type Information
0x00000c05	ftb_00
0x00000c26	dtc_C102_fi_0
0x00000c3a	Lost Communication with Transfer Case Control Module
0x00000c70	dtc_C102
0x00000cec	op_cycle_1
0x00000d00	Message ID: 0x3B3 Pass - Message is Recieved Fail - Message times out (After 5 Seconds)
0x00000d5a	5 seconds
0x00000d7f	No Sub Type Information
0x00000d98	ftb_00
0x00000db8	<no pin associated>
0x00000dcd	dtc_C140_fi_0
0x00000de1	Lost Communication With Body Control Module
0x00000e0e	dtc_C140
0x00000e8a	op_cycle_1
0x00000e9a	Broadcasts switch as faulty
0x00000eb7	Mode Selection will not be possible by push to select button
0x00000ef5	Fail : Stuck condition of switch detected for 120 seconds or longer
0x00000f3b	Every 10 ms
0x00000f62	Stuck On
0x00000f6c	ftb_9E
0x00000f8d	dtc_E002_fi_0
0x00000fa1	Switch
0x00000fa9	dtc_E002
0x00001025	op_cycle_1
0x00001035	Broadcasts switch as faulty
0x00001052	Mode selection will not be possible by rotary knob
0x00001086	Fail : Open or short failure of optical sensor used for rotary switch detected
0x000010d7	10ms
0x000010f7	Stuck On
0x00001101	ftb_9E
0x00001122	dtc_E009_fi_0
0x00001136	Rotary Encoder
0x00001146	dtc_E009
0x000011c2	op_cycle_1
0x000011d2	Dependent of type of failure
0x000011f0	"1. Loss of functionality 2. Irratic/Incorrect behaviour 3. All LED's are turned off"
0x00001416	Every 10 msec
0x0000143f	System Internal Failure
0x00001458	ftb_04
0x00001479	dtc_F000_fi_0
0x0000148d	Control Module
0x0000149d	dtc_F000
0x00001642	session_02
0x0000164e	programmingSession
0x00001669	service_27_sf_01
0x0000167b	requestSeed
0x000016a5	service_27_sf_02
0x000016b7	sendKey
0x000016c5	security_01
0x000016d2	Send Key (Security Level 0x01)
0x00001844	session_03
0x00001850	extendedDiagnosticSession
0x00001872	service_27_sf_03
0x00001884	requestSeed
0x000018ae	service_27_sf_04
0x000018c0	sendKey
0x000018cd	Used for I/O control
0x000018e3	security_03
0x000018f0	Send Key (Security Level 0x03)
0x00001b05	session_01
0x00001b11	defaultSession
0x00001c9b	session_02
0x00001ca7	programmingSession
0x00001de0	session_03
0x00001dec	extendedDiagnosticSession
0x00001eab	Type 2
0x00001eb3	routine_0202_results_resp_param__param_0_resp_sub_item_bit_1_data_def_enum_1
0x00001f0e	routine_0202_results_resp_param__param_0_resp_sub_item_bit_1_data_def
0x00001f62	routine_0202_results_resp_param__param_0_resp_sub_item_bit_1
0x00001fa0	RoutineType
0x00001fd2	completed
0x00001fdd	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_1
0x00002035	aborted
0x0000203e	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_2
0x00002096	active
0x0000209e	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2_data_def_enum_3
0x000020f9	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2_data_def
0x0000214d	routine_0202_results_resp_param__param_0_resp_sub_item_bit_2
0x0000218b	RoutineStatus
0x000021a3	RoutineInfo
0x000021e2	routine_0202_results_resp_param__param_1_resp_sub_item_bit_1_data_def
0x00002236	routine_0202_results_resp_param__param_1_resp_sub_item_bit_1
0x00002274	On-Demand DTCs
0x0000228f	Response Additional Data
0x000022f3	routine_0202_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00002344	routine_0202_param_1_start_resp_1_routinetype_resp_data_def
0x0000238e	routine_0202_param_1_start_resp_1_subfield_1
0x000023bc	RoutineType
0x000023f2	routine_0202_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x00002446	routine_0202_param_1_start_resp_1_routinestatus_resp_data_def_enum_2
0x0000249a	routine_0202_param_1_start_resp_1_routinestatus_resp_data_def_enum_3
0x000024ed	routine_0202_param_1_start_resp_1_routinestatus_resp_data_def
0x00002539	routine_0202_param_1_start_resp_1_subfield_2
0x00002567	RoutineStatus
0x000025cd	routine_0202_stop_resp__routinetype_resp_data_def_enum_1
0x00002614	routine_0202_stop_resp__routinetype_resp_data_def
0x00002654	routine_routine_0202_stop_resp_0_stop_resp_1_subfield_1
0x0000268d	RoutineType
0x000026c3	routine_0202_stop_resp__routinestatus_resp_data_def_enum_1
0x0000270d	routine_0202_stop_resp__routinestatus_resp_data_def_enum_2
0x00002757	routine_0202_stop_resp__routinestatus_resp_data_def_enum_3
0x000027a0	routine_0202_stop_resp__routinestatus_resp_data_def
0x000027e2	routine_routine_0202_stop_resp_0_stop_resp_1_subfield_2
0x0000281b	RoutineStatus
0x00002845	routine_0202
0x00002853	On-Demand Self-Test
0x00002918	routine_routine_0301_start_req_1_subfield_1_bit_0_req_data_def
0x00002965	routine_routine_0301_start_req_1_subfield_1
0x00002992	Memory Address
0x000029ab	Request Additional Data
0x00002a00	Type 1
0x00002a08	routine_0301_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00002a59	routine_0301_param_1_start_resp_1_routinetype_resp_data_def
0x00002aa3	routine_0301_param_1_start_resp_1_subfield_1
0x00002ad1	RoutineType
0x00002b03	completed
0x00002b0e	routine_0301_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x00002b61	routine_0301_param_1_start_resp_1_routinestatus_resp_data_def
0x00002bad	routine_0301_param_1_start_resp_1_subfield_2
0x00002bdb	RoutineStatus
0x00002bf3	RoutineInfo
0x00002c1b	routine_0301
0x00002c29	Activate Secondary Boot-loader
0x00002d0c	Type 1
0x00002d14	routine_0304_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00002d65	routine_0304_param_1_start_resp_1_routinetype_resp_data_def
0x00002daf	routine_0304_param_1_start_resp_1_subfield_1
0x00002ddd	RoutineType
0x00002e0f	completed
0x00002e1a	routine_0304_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x00002e6d	routine_0304_param_1_start_resp_1_routinestatus_resp_data_def
0x00002eb9	routine_0304_param_1_start_resp_1_subfield_2
0x00002ee7	RoutineStatus
0x00002eff	RoutineInfo
0x00002f3a	Valid Application Software is NOT Present
0x00002f65	routine_0304_param_2_start_resp_1_application_status_resp_data_def_enum_1
0x00002fba	Valid Application Software is Present
0x00002fe1	routine_0304_param_2_start_resp_1_application_status_resp_data_def_enum_2
0x00003039	routine_0304_param_2_start_resp_1_application_status_resp_data_def
0x0000308a	routine_0304_param_2_start_resp_1_subfield_1
0x000030b8	Application Status
0x000030d5	Response Additional Data
0x0000310a	routine_0304
0x00003118	Check Valid Application
0x000031e9	routine_routine_dc05_start_req_1_subfield_1_bit_0_req_data_def
0x00003236	routine_routine_DC05_start_req_1_subfield_1
0x00003263	Kostia Key
0x00003278	Request Additional Data
0x000032cd	Type 1
0x000032d5	routine_dc05_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00003326	routine_dc05_param_1_start_resp_1_routinetype_resp_data_def
0x00003370	routine_DC05_param_1_start_resp_1_subfield_1
0x0000339e	RoutineType
0x000033d0	completed
0x000033db	routine_dc05_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x0000342e	routine_dc05_param_1_start_resp_1_routinestatus_resp_data_def
0x0000347a	routine_DC05_param_1_start_resp_1_subfield_2
0x000034a8	RoutineStatus
0x000034c0	RoutineInfo
0x000034e8	routine_DC05
0x000034f6	Unlock Kostia
0x000035b3	routine_routine_dc06_start_req_1_subfield_1_bit_0_req_data_def
0x00003600	routine_routine_DC06_start_req_1_subfield_1
0x0000362d	Kostia Key
0x00003642	Request Additional Data
0x00003697	Type 1
0x0000369f	routine_dc06_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x000036f0	routine_dc06_param_1_start_resp_1_routinetype_resp_data_def
0x0000373a	routine_DC06_param_1_start_resp_1_subfield_1
0x00003768	RoutineType
0x0000379a	completed
0x000037a5	routine_dc06_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x000037f8	routine_dc06_param_1_start_resp_1_routinestatus_resp_data_def
0x00003844	routine_DC06_param_1_start_resp_1_subfield_2
0x00003872	RoutineStatus
0x0000388a	RoutineInfo
0x000038b2	routine_DC06
0x000038c0	Kostal Error Detail Kostia
0x00003995	routine_routine_ff00_start_req_1_subfield_1_bit_0_req_data_def
0x000039e2	routine_routine_FF00_start_req_1_subfield_1
0x00003a0f	Memory Address
0x00003a3d	routine_routine_ff00_start_req_1_subfield_2_bit_1_req_data_def
0x00003a8a	routine_routine_FF00_start_req_1_subfield_2
0x00003ab7	Memory Size
0x00003acd	Request Additional Data
0x00003b22	Type 1
0x00003b2a	routine_ff00_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00003b7b	routine_ff00_param_1_start_resp_1_routinetype_resp_data_def
0x00003bc5	routine_FF00_param_1_start_resp_1_subfield_1
0x00003bf3	RoutineType
0x00003c25	completed
0x00003c30	routine_ff00_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x00003c83	routine_ff00_param_1_start_resp_1_routinestatus_resp_data_def
0x00003ccf	routine_FF00_param_1_start_resp_1_subfield_2
0x00003cfd	RoutineStatus
0x00003d15	RoutineInfo
0x00003d3d	routine_FF00
0x00003d4b	Flash Erase
0x00003e02	routine_routine_ff01_start_req_1_subfield_1_bit_0_req_data_def
0x00003e4f	routine_routine_FF01_start_req_1_subfield_1
0x00003e7c	Memory Address
0x00003eaa	routine_routine_ff01_start_req_1_subfield_2_bit_1_req_data_def
0x00003ef7	routine_routine_FF01_start_req_1_subfield_2
0x00003f24	Memory Size
0x00003f3a	Request Additional Data
0x00003f8f	Type 1
0x00003f97	routine_ff01_param_1_start_resp_1_routinetype_resp_data_def_enum_1
0x00003fe8	routine_ff01_param_1_start_resp_1_routinetype_resp_data_def
0x00004032	routine_FF01_param_1_start_resp_1_subfield_1
0x00004060	RoutineType
0x00004092	completed
0x0000409d	routine_ff01_param_1_start_resp_1_routinestatus_resp_data_def_enum_1
0x000040f0	routine_ff01_param_1_start_resp_1_routinestatus_resp_data_def
0x0000413c	routine_FF01_param_1_start_resp_1_subfield_2
0x0000416a	RoutineStatus
0x00004182	RoutineInfo
0x000041b6	routine_ff01_param_2_start_resp_1_checksum_resp_data_def
0x000041fd	routine_FF01_param_2_start_resp_1_subfield_1
0x0000422b	Checksum
0x0000423e	Response Additional Data
0x00004273	routine_FF01
0x00004281	Check Programming Dependencies
0x000044dc	session_01
0x000044e8	defaultSession
0x000045f3	session_03
0x000045ff	extendedDiagnosticSession
0x0000461f	service_22_p4_max_00
0x00004792	session_02
0x0000479e	programmingSession
0x000047b7	service_22_p4_max_01
0x0000481a	nrc_13
0x00004822	incorrectMessageLengthOrInvalidFormat
0x00004860	nrc_22
0x00004868	conditionsNotCorrect
0x00004895	nrc_31
0x0000489d	requestOutOfRange
