# G2162800.mdx  size=985,208 B  records=16696
0x00000973	pll_1
0x00000b8f	session_02
0x00000b9b	programmingSession
0x00000bb6	service_27_sf_01
0x00000bc8	requestSeed
0x00000bf2	service_27_sf_02
0x00000c04	sendKey
0x00000c12	security_01
0x00000c1f	Send Key (Security Level 0x01)
0x00000d91	session_03
0x00000d9d	extendedDiagnosticSession
0x00000dbf	service_27_sf_03
0x00000dd1	requestSeed
0x00000dfb	service_27_sf_04
0x00000e0d	sendKey
0x00000e1a	Used for I/O control
0x00000e30	security_03
0x00000e3d	Send Key (Security Level 0x03)
0x00001061	session_02
0x0000106d	programmingSession
0x00001088	service_27_sf_01
0x0000109a	requestSeed
0x000010c4	service_27_sf_02
0x000010d6	sendKey
0x000010e4	security_01
0x000010f1	Send Key (Security Level 0x01)
0x00001114	Ford_Production_Encryption_Prg_2012
0x00001139	fb_01
0x00001274	session_03
0x00001280	extendedDiagnosticSession
0x000012a2	service_27_sf_03
0x000012b4	requestSeed
0x000012de	service_27_sf_04
0x000012f0	sendKey
0x000012fd	Used for I/O control
0x00001313	security_03
0x00001320	Send Key (Security Level 0x03)
0x00001343	Ford_Production_Encryption_App_2012
0x00001368	fb_03
0x0000155a	session_01
0x00001566	defaultSession
0x00001671	session_03
0x0000167d	extendedDiagnosticSession
0x0000169d	service_10_p4_max_00
0x00001861	session_02
0x0000186d	programmingSession
0x00001886	service_10_p4_max_01
0x000018cd	nrc_12
0x000018d5	subFunctionNotSupported
0x00001905	nrc_13
0x0000190d	incorrectMessageLengthOrInvalidFormat
0x0000194b	nrc_22
0x00001953	conditionsNotCorrect
0x00001980	nrc_7E
0x00001988	subFunctionNotSupportedInActiveSession
0x000019c9	service_10
0x000019d5	DiagnosticSessionControl
0x00001a11	service_10_sf_01
0x00001a42	service_10_sf_02
0x00001a6f	service_10_sf_03
0x00001cba	session_01
0x00001cc6	defaultSession
0x00001dd1	session_03
0x00001ddd	extendedDiagnosticSession
0x00001dfd	service_11_p4_max_00
0x00001fc1	session_02
0x00001fcd	programmingSession
0x00001fe6	service_11_p4_max_01
0x0000202d	nrc_12
0x00002035	subFunctionNotSupported
0x00002065	nrc_13
0x0000206d	incorrectMessageLengthOrInvalidFormat
0x000020ad	service_11
0x000020b9	ECUReset
0x000020e4	service_11_sf_01
0x000020f6	hardReset
0x0000232b	session_01
0x00002337	defaultSession
0x00002442	session_03
0x0000244e	extendedDiagnosticSession
0x0000246e	service_14_p4_max_00
0x000024c8	nrc_11
0x000024d0	serviceNotSupported
0x000024fc	nrc_13
0x00002504	incorrectMessageLengthOrInvalidFormat
0x00002542	nrc_31
0x0000254a	requestOutOfRange
0x00002574	nrc_78
0x0000257c	requestCorrectlyReceived-ResponsePending
0x000025bd	nrc_7F
0x000025c5	serviceNotSupportedInActiveSession
0x00002602	service_14
0x0000260e	ClearDiagnosticInformation
0x00002853	session_01
0x0000285f	defaultSession
0x0000296a	session_03
0x00002976	extendedDiagnosticSession
0x00002996	service_19_p4_max_00
0x000029d9	nrc_11
0x000029e1	serviceNotSupported
0x00002a0d	nrc_12
0x00002a15	subFunctionNotSupported
0x00002a45	nrc_13
0x00002a4d	incorrectMessageLengthOrInvalidFormat
0x00002a8b	nrc_31
0x00002a93	requestOutOfRange
0x00002abd	nrc_7F
0x00002ac5	serviceNotSupportedInActiveSession
0x00002b02	service_19
0x00002b0e	ReadDTCInformation
0x00002b3f	service_19_sf_01
0x00002b51	reportNumberOfDTCByStatusMask
0x00002b87	service_19_sf_02
0x00002b99	reportDTCByStatusMask
0x00002bc7	service_19_sf_06
0x00002bd9	reportDTCExtDataRecordByDTCNumber
0x00002c13	service_19_sf_0a
0x00002c25	reportSupportedDTC
0x00002e6b	session_01
0x00002e77	defaultSession
0x00002f82	session_03
0x00002f8e	extendedDiagnosticSession
0x00002fae	service_22_p4_max_00
0x00003172	session_02
0x0000317e	programmingSession
0x00003197	service_22_p4_max_01
0x000031fa	nrc_13
0x00003202	incorrectMessageLengthOrInvalidFormat
0x00003240	nrc_31
0x00003248	requestOutOfRange
0x00003274	service_22
0x00003280	ReadDataByIdentifier
0x000033f1	session_03
0x000033fd	extendedDiagnosticSession
0x0000341d	service_27_p4_max_00
0x000035e1	session_02
0x000035ed	programmingSession
0x00003606	service_27_p4_max_01
0x00003649	nrc_12
0x00003651	subFunctionNotSupported
0x00003681	nrc_13
0x00003689	incorrectMessageLengthOrInvalidFormat
0x000036c7	nrc_24
0x000036cf	requestSequenceError
0x000036fc	nrc_35
0x00003704	invalidKey
0x00003727	nrc_36
0x0000372f	exceedNumberOfAttempts
0x0000375e	nrc_37
0x00003766	requiredTimeDelayNotExpired
0x0000379a	nrc_7E
0x000037a2	subFunctionNotSupportedInActiveSession
0x000037e1	nrc_7F
0x000037e9	serviceNotSupportedInActiveSession
0x00003826	service_27
0x00003832	SecurityAccess
0x0000385d	service_27_sf_01
0x0000386f	requestSeed
0x00003891	service_27_sf_02
0x000038a3	sendKey
0x000038bf	service_27_sf_03
0x000038e8	service_27_sf_04
0x00003a66	session_03
0x00003a72	extendedDiagnosticSession
0x00003a92	service_2E_p4_max_00
0x00003ad1	nrc_13
0x00003ad9	incorrectMessageLengthOrInvalidFormat
0x00003b17	nrc_31
0x00003b1f	requestOutOfRange
0x00003b49	nrc_78
0x00003b51	requestCorrectlyReceived-ResponsePending
0x00003b92	nrc_7F
0x00003b9a	serviceNotSupportedInActiveSession
0x00003bd7	service_2E
0x00003be3	WriteDataByIdentifier
0x00003d58	session_03
0x00003d64	extendedDiagnosticSession
0x00003d84	service_31_p4_max_00
0x00003f4c	session_02
0x00003f58	programmingSession
0x00003f71	service_31_p4_max_01
0x00003fb4	nrc_12
0x00003fbc	subFunctionNotSupported
0x00003fec	nrc_13
0x00003ff4	incorrectMessageLengthOrInvalidFormat
0x00004032	nrc_21
0x0000403a	busyRepeatRequest
0x00004064	nrc_22
0x0000406c	conditionsNotCorrect
0x00004099	nrc_24
0x000040a1	requestSequenceError
0x000040ce	nrc_25
0x000040d6	noResponseFromSubnetComponent
0x0000410c	nrc_31
0x00004114	requestOutOfRange
0x0000413e	nrc_78
0x00004146	requestCorrectlyReceived-ResponsePending
0x00004187	nrc_7E
0x0000418f	subFunctionNotSupportedInActiveSession
0x000041ce	nrc_7F
0x000041d6	serviceNotSupportedInActiveSession
0x00004213	service_31
0x0000421f	RoutineControl
0x0000424c	service_31_sf_01
0x0000425e	startRoutine
0x0000427f	service_31_sf_02
0x00004291	stopRoutine
0x000042b1	service_31_sf_03
0x000042c3	requestRoutineResults
0x000044ec	session_02
0x000044f8	programmingSession
0x00004511	service_34_p4_max_00
0x0000454e	No Compression Method and No Encryption Method
0x000045ab	nrc_13
0x000045b3	incorrectMessageLengthOrInvalidFormat
0x000045f1	nrc_22
0x000045f9	conditionsNotCorrect
0x00004626	nrc_31
0x0000462e	requestOutOfRange
0x00004658	nrc_33
0x00004660	securityAccessDenied
0x0000468d	nrc_78
0x00004695	requestCorrectlyReceived-ResponsePending
0x000046d6	nrc_7F
0x000046de	serviceNotSupportedInActiveSession
0x0000471b	service_34
0x00004727	RequestDownload
0x0000493a	session_02
0x00004946	programmingSession
0x0000495f	service_36_p4_max_00
0x0000499e	nrc_13
0x000049a6	incorrectMessageLengthOrInvalidFormat
0x000049e4	nrc_24
0x000049ec	requestSequenceError
0x00004a19	nrc_73
0x00004a21	wrongBlockSequenceCounter
0x00004a53	nrc_78
0x00004a5b	requestCorrectlyReceived-ResponsePending
0x00004a9c	nrc_7F
0x00004aa4	serviceNotSupportedInActiveSession
0x00004ae1	service_36
0x00004aed	TransferData
0x00004cfa	session_02
0x00004d06	programmingSession
0x00004d1f	service_37_p4_max_00
0x00004d5e	nrc_13
0x00004d66	incorrectMessageLengthOrInvalidFormat
0x00004da4	nrc_24
0x00004dac	requestSequenceError
0x00004dd9	nrc_78
0x00004de1	requestCorrectlyReceived-ResponsePending
0x00004e22	nrc_7F
0x00004e2a	serviceNotSupportedInActiveSession
0x00004e67	service_37
0x00004e73	RequestTransferExit
0x000050aa	session_01
0x000050b6	defaultSession
0x000051c1	session_03
0x000051cd	extendedDiagnosticSession
0x000051ed	service_3E_p4_max_00
0x000053b1	session_02
0x000053bd	programmingSession
0x000053d6	service_3E_p4_max_01
0x0000541d	nrc_12
0x00005425	subFunctionNotSupported
0x00005455	nrc_13
0x0000545d	incorrectMessageLengthOrInvalidFormat
0x0000549d	service_3E
0x000054a9	TesterPresent
0x000054d9	service_3E_sf_00
0x000054eb	zeroSubFunction
0x00005663	session_03
0x0000566f	extendedDiagnosticSession
0x0000568f	service_85_p4_max_00
0x000056ce	nrc_11
0x000056d6	serviceNotSupported
0x00005702	nrc_12
0x0000570a	subFunctionNotSupported
0x0000573a	nrc_13
0x00005742	incorrectMessageLengthOrInvalidFormat
0x00005780	nrc_78
0x00005788	requestCorrectlyReceived-ResponsePending
0x000057c9	nrc_7F
0x000057d1	serviceNotSupportedInActiveSession
0x0000580e	service_85
0x0000581a	ControlDTCSetting
0x00005846	service_85_sf_01
0x00005858	on
0x0000586f	service_85_sf_02
0x00005881	off
0x00005926	op_cycle_1
0x00005936	Stolen Vehicle DTC alert will be generated and sent to V-SDN.
0x00005975	Vehicle movement not detected by SVSS/PTA components.
0x00005a5d	2.5s
0x00005a7d	No Sub Type Information
0x00005a96	ftb_00
0x00005ab6	N/A
0x00005abb	dtc_406A_fi_0
0x00005acf	Multi-axis Acceleration Sensor
0x00005aef	dtc_406A
0x00005b69	op_cycle_2
0x00005b79	LED will light after self-diagnosis at ignition on. TCU will use OEM VIN (from BCM) for MSD sent to PSAP.
0x00005be4	VIN sent in MSD to PSAP may not be correct.
0x00005d17	Continuous until "VIN strategy" in 0xDE03 = 0x00b or "VIN strategy" in 0xDE03 = 0x11b with valid Conversion VIN
0x00005da2	No Sub Type Information
0x00005dbb	ftb_00
0x00005ddb	N/A
0x00005de0	dtc_4546_fi_0
0x00005df4	VIN Not Programmed or Incompatible
0x00005e18	dtc_4546
0x00005e94	op_cycle_2
0x00005ea4	If emergency calling is enabled, LED will light after self-diagnosis at ignition on.
0x00005efa	Emergency call may fail. Data over cellular will fail.
0x00005fb9	Continuous detection (via SIM polling with STATUS command, issued at least every 30 sec. while in Idle state).
0x00006043	System Internal Failure
0x0000605c	ftb_04
0x0000607c	N/A
0x00006081	dtc_916C_fi_0
0x000060d9	LED will light after self-diagnosis at ignition on.
0x0000610e	Emergency call may fail.
0x00006128	Pass Criteria: SIM EF-ust service #89 set; Failure Criteria: not meet above EFs configuration
0x00006188	On Ignition cycle,and following any SIM update (e.g. reset and/or refresh)
0x000061ee	Not Configured
0x000061fe	ftb_55
0x00006222	dtc_916C_fi_1
0x0000627a	No action
0x00006285	Data over cellular will fail.
0x000062a4	Pass Criteria: Matching carrier APN information configured Failure Criteria: No match to carrier APN.
