# G2400186.mdx  size=2,716,274 B  records=48731
0x00000a0f	session_02
0x00000a1b	programmingSession
0x00000a36	service_27_sf_01
0x00000a48	requestSeed
0x00000a72	service_27_sf_02
0x00000a84	sendKey
0x00000a92	security_01
0x00000a9f	Send Key (Security Level 0x01)
0x00000ac2	Ford_Production_Encryption_Prg_2012
0x00000ae7	fb_01
0x00000c22	session_03
0x00000c2e	extendedDiagnosticSession
0x00000c50	service_27_sf_03
0x00000c62	requestSeed
0x00000c8c	service_27_sf_04
0x00000c9e	sendKey
0x00000cab	Used for I/O control
0x00000cc1	security_03
0x00000cce	Send Key (Security Level 0x03)
0x00000cf1	Ford_Production_Encryption_App_2012
0x00000d16	fb_03
0x00000d79	op_cycle_1
0x00000d89	Reset. if it doesn't help - failure
0x00000dae	N/A
0x00000db3	Pass Criteria: MS1 CAN bus communication is operational. Failure Criteria: MS1 CAN bus communication not operational.
0x00000e2b	10 secs
0x00000e4e	Component Failure
0x00000e61	ftb_09
0x00000e81	CAN_L pin P16 / CAN_H pin P3
0x00000e9f	dtc_C028_fi_0
0x00000eb3	Vehicle Communication Bus A
0x00000ed0	dtc_C028
0x00000f4c	op_cycle_1
0x00000f5c	Reset. if it doesn't help - failure
0x00000f81	N/A
0x00000f86	Pass Criteria: FD1 CAN bus communication is operational. Failure Criteria: FD1 CAN bus communication not operational.
0x00000ffe	10 secs
0x00001021	Component Failure
0x00001034	ftb_09
0x00001054	CAN_L pin P17 / CAN_H pin P4
0x00001072	dtc_C037_fi_0
0x00001086	Vehicle Communication Bus B
0x000010a3	dtc_C037
0x0000111f	op_cycle_1
0x0000112f	Reset. if it doesn't help - failure
0x00001154	N/A
0x00001159	Pass Criteria: DIAG1 CAN bus communication is operational. Failure Criteria: DIAG1 CAN bus communication not operational.
0x000011d5	10 secs
0x000011f8	Component Failure
0x0000120b	ftb_09
0x0000122b	CAN_L pin P18 / CAN_H pin P5
0x00001249	dtc_C046_fi_0
0x0000125d	Vehicle Communication Bus C
0x0000127a	dtc_C046
0x000012f6	op_cycle_1
0x00001306	Reset. if it doesn't help - failure
0x0000132b	N/A
0x000013b6	10 secs
0x000013d9	Component Failure
0x000013ec	ftb_09
0x0000140c	CAN_L pin P19 / CAN_H pin P6
0x0000142a	dtc_C055_fi_0
0x0000143e	Vehicle Communication Bus D
0x0000145b	dtc_C055
0x000014d7	op_cycle_1
0x000014e7	Reset. if it doesn't help - failure
0x0000150c	N/A
0x00001511	Pass Criteria: HS1 CAN bus communication is operational. Failure Criteria: HS1 CAN bus communication not operational.
0x00001589	10 secs
0x000015ac	Component Failure
0x000015bf	ftb_09
0x000015df	CAN_L pin P20 / CAN_H pin P7
0x000015fd	dtc_C064_fi_0
0x00001611	Vehicle Communication Bus E
0x0000162e	dtc_C064
0x000016aa	op_cycle_1
0x000016ba	Reset. if it doesn't help - failure
0x000016df	N/A
0x000016e4	Pass Criteria: HS2 CAN bus communication is operational. Failure Criteria: HS2 CAN bus communication not operational.
0x0000175c	10 secs
0x0000177f	Component Failure
0x00001792	ftb_09
0x000017b2	CAN_L pin P21 / CAN_H pin P8
0x000017d0	dtc_C080_fi_0
0x000017e4	Vehicle Communication Bus F
0x00001801	dtc_C080
0x0000187d	op_cycle_1
0x0000188d	Reset. if it doesn't help - failure
0x000018b2	N/A
0x000018b7	Pass Criteria: HS3 CAN bus communication is operational. Failure Criteria: HS3 CAN bus communication not operational.
0x0000192f	10 secs
0x00001952	Component Failure
0x00001965	ftb_09
0x00001985	CAN_L pin P22 / CAN_H pin P9
0x000019a3	dtc_C089_fi_0
0x000019b7	Vehicle Communication Bus G
0x000019d4	dtc_C089
0x00001a50	op_cycle_1
0x00001a60	Reset. if it doesn't help - failure
0x00001a85	N/A
0x00001a8a	Pass Criteria: HS4 CAN bus communication is operational. Failure Criteria: HS4 CAN bus communication not operational.
0x00001b02	10 secs
0x00001b25	Component Failure
0x00001b38	ftb_09
0x00001b58	CAN_L pin P23 / CAN_H pin P10
0x00001b77	dtc_C092_fi_0
0x00001b8b	Vehicle Communication Bus H
0x00001ba8	dtc_C092
0x00001c24	op_cycle_2
0x00001c34	ECG shall raise the DTC and shall not provision BLEM if BLEM is not provisioned
0x00001c85	N/A
0x00001d68	300 sec
0x00001d8b	No Sub Type Information
0x00001da4	ftb_00
0x00001dc5	dtc_C214_fi_0
0x00001dd9	Lost Communication With Remote Function Actuation Module
0x00001e13	dtc_C214
0x00001e8f	op_cycle_1
0x00001e9f	ECG shall raise the DTC
0x00001eb8	N/A
0x00001f86	10 sec
0x00001fa8	Invalid / Incompatible Software Component
0x00001fd3	ftb_57
0x00001ff5	dtc_C53B_fi_0
0x00002009	Invalid Data Received From Image Processing Module A
0x0000203f	dtc_C53B
0x000020bb	op_cycle_2
0x000020cb	ECG shall raise the DTC and shall not provision OBCC if OBCC is not provisioned
0x0000211c	N/A
0x000021f9	300 sec
0x0000221c	No Sub Type Information
0x00002235	ftb_00
0x00002256	dtc_D020_fi_0
0x0000226a	Lost Communication With Generic Function Module 2
0x0000229d	dtc_D020
0x00002319	op_cycle_1
0x000023e7	N/A
0x000023ec	Pass Criteria: Link between CCPU and VMCU is operational. Failure Criteria: Link between CCPU and VMCU is not operational.
0x00002469	10 sec
0x0000248b	No Sub Type Information
0x000024a4	ftb_00
0x000024c5	dtc_DA01_fi_0
0x000024d9	Communication Link
0x000024ed	dtc_DA01
0x00002569	op_cycle_2
0x00002579	ECG will not transmit VIN information via TCP/IP. ECG cannot be authorized
0x000025c5	VIN info is not trasmitted over TCP/IP
0x00002675	Continuous until configuration is loaded
0x000026b9	No Sub Type Information
0x000026d2	ftb_00
0x000026f2	NA
0x000026f6	dtc_E100_fi_0
0x0000270a	Initial Configuration Not Complete
0x0000272e	dtc_E100
0x000027aa	op_cycle_1
0x000027ba	DTC shall be present.
0x00002e42	Once every ignition cycle and LCM=Factory.
0x00002e88	Invalid / Incompatible Configuration
0x00002eae	ftb_56
0x00002ece	N/A
0x00002ed3	dtc_E101_fi_0
0x00002ee7	Control Module Configuration Incompatible
0x00002f12	dtc_E101
0x00002f8e	op_cycle_2
0x00003166	Pass Criteria: If all Ethernet ECUs are learned Failure Criteria: If one or more Ethernet ECUs are not learned
0x000031d7	At assembly / dealer servicing
0x00003211	No Sub Type Information
0x0000322a	ftb_00
0x0000324b	dtc_E120_fi_0
0x0000325f	Ethernet Learning Incomplete
0x0000327d	dtc_E120
0x000032f9	op_cycle_2
0x00003309	DTC raised
0x00003315	Customer Connectivity Settings menu not accessible
0x0000345d	50 sec
0x0000347f	No Sub Type Information
0x00003498	ftb_00
0x000034b9	dtc_E200_fi_0
0x000034cd	Control Module Configuration Memory Corrupt
0x000034fa	dtc_E200
0x00003576	op_cycle_2
0x00003586	ECG shall raise the DTC and shall not provision SYNC if SYNC is not provisioned
0x000035d7	N/A
0x000036ba	300 sec
0x000036dd	No Sub Type Information
0x000036f6	ftb_00
0x00003717	dtc_E401_fi_0
0x00003773	Connected features on vehicle will not be available
0x0000386c	While module is powered on
0x000038a2	General Electrical Failures - 2
0x000038c3	ftb_0A
0x000038e3	Connector C3D: Pin 1, Pin 2
0x00003900	dtc_E401_fi_1
0x00003958	Disable ethernet port of the ECU
0x00003a11	At assembly / dealer servicing
0x00003a4b	Invalid Serial Data Received
0x00003a69	ftb_81
0x00003a8a	dtc_E401_fi_2
0x00003aea	Pass Criteria: if an Ethernet ECU is learned Failure Criteria: if an Ethernet ECU sends invalid message
0x00003b72	Performance or Incorrect Operation
0x00003b96	ftb_92
0x00003bb7	dtc_E401_fi_3
0x00003bcb	Ethernet Failure With Accessory Protocol Interface Module (APIM)
0x00003c0d	dtc_E401
0x00003c89	op_cycle_2
0x00003c99	ECG shall raise the DTC and shall not provision TCU if its not provisioned
0x00003ce5	N/A
0x00003dc4	300 sec
0x00003de7	No Sub Type Information
0x00003e00	ftb_00
0x00003e21	dtc_E402_fi_0
0x00003e7d	Connected features on vehicle will not be available
0x00003f74	While module is powered on
0x00003faa	General Electrical Failures - 2
0x00003fcb	ftb_0A
0x00003feb	Connector C3C: Pin 1, Pin 2
0x00004008	dtc_E402_fi_1
0x00004060	Disable ethernet port of the ECU
0x0000411a	At assembly / dealer servicing
0x00004154	Invalid Serial Data Received
0x00004172	ftb_81
0x00004193	dtc_E402_fi_2
0x000041f3	Pass Criteria: if an Ethernet ECU is learned Failure Criteria: if an Ethernet ECU sends invalid message
0x0000427b	Performance or Incorrect Operation
0x0000429f	ftb_92
0x000042c0	dtc_E402_fi_3
0x000042d4	Ethernet Failure With Telematic Control Unit Module (TCU)
0x0000430f	dtc_E402
0x0000438b	op_cycle_2
0x0000439b	N/A
0x00004464	While module is powered on
