# G2427628.mdx  size=2,300,917 B  records=38422
0x00000973	pll_1
0x00000b3e	session_02
0x00000b4a	programmingSession
0x00000b65	service_27_sf_01
0x00000b77	requestSeed
0x00000ba1	service_27_sf_02
0x00000bb3	sendKey
0x00000bc1	security_01
0x00000bce	Send Key (Security Level 0x01)
0x00000d40	session_03
0x00000d4c	extendedDiagnosticSession
0x00000d6e	service_27_sf_03
0x00000d80	requestSeed
0x00000daa	service_27_sf_04
0x00000dbc	sendKey
0x00000dc9	Used for I/O control
0x00000ddf	security_03
0x00000dec	Send Key (Security Level 0x03)
0x00000fbf	session_02
0x00000fcb	programmingSession
0x00000fe6	service_27_sf_01
0x00000ff8	requestSeed
0x00001022	service_27_sf_02
0x00001034	sendKey
0x00001042	security_01
0x0000104f	Send Key (Security Level 0x01)
0x00001072	Ford_Production_Encryption_Prg_2012
0x00001097	fb_01
0x000011d2	session_03
0x000011de	extendedDiagnosticSession
0x00001200	service_27_sf_03
0x00001212	requestSeed
0x0000123c	service_27_sf_04
0x0000124e	sendKey
0x0000125b	Used for I/O control
0x00001271	security_03
0x0000127e	Send Key (Security Level 0x03)
0x000012a1	Ford_Production_Encryption_App_2012
0x000012c6	fb_03
0x000012ea	Image Processing Module "A"
0x00001313	IPMA
0x00001529	session_01
0x00001535	defaultSession
0x00001640	session_03
0x0000164c	extendedDiagnosticSession
0x0000166c	service_22_p4_max_00
0x000017df	session_02
0x000017eb	programmingSession
0x00001804	service_22_p4_max_01
0x00001867	nrc_13
0x0000186f	incorrectMessageLengthOrInvalidFormat
0x000018ad	nrc_22
0x000018b5	conditionsNotCorrect
0x000018e2	nrc_31
0x000018ea	requestOutOfRange
0x00001914	nrc_33
0x0000191c	securityAccessDenied
0x00001949	nrc_78
0x00001951	requestCorrectlyReceived-ResponsePending
0x00001994	service_22
0x000019a0	ReadDataByIdentifier
0x00001a84	did_0202_subfield_1_data_def
0x00001aaf	did_0202_subfield_1
0x00001ac4	Number of Trouble Codes Set due to Diagnostic Test
0x00001b00	did_0202
0x00001b0a	Number of Trouble Codes Set due to Diagnostic Test
0x00001da6	session_01
0x00001db2	defaultSession
0x00001ebd	session_03
0x00001ec9	extendedDiagnosticSession
0x00001ee9	service_22_p4_max_00
0x0000205c	session_02
0x00002068	programmingSession
0x00002081	service_22_p4_max_01
0x000020e4	nrc_13
0x000020ec	incorrectMessageLengthOrInvalidFormat
0x0000212a	nrc_22
0x00002132	conditionsNotCorrect
0x0000215f	nrc_31
0x00002167	requestOutOfRange
0x00002191	nrc_33
0x00002199	securityAccessDenied
0x000021c6	nrc_78
0x000021ce	requestCorrectlyReceived-ResponsePending
0x00002211	service_22
0x0000221d	ReadDataByIdentifier
0x0000230d	did_2044_subfield_1_data_def
0x00002338	did_2044_subfield_1
0x0000234d	Advanced Blockage Detection Blockage Events
0x00002382	did_2044
0x0000238c	Advanced Blockage Detection Blockage Events
0x0000261a	session_01
0x00002626	defaultSession
0x00002731	session_03
0x0000273d	extendedDiagnosticSession
0x0000275d	service_22_p4_max_00
0x000028d0	session_02
0x000028dc	programmingSession
0x000028f5	service_22_p4_max_01
0x00002958	nrc_13
0x00002960	incorrectMessageLengthOrInvalidFormat
0x0000299e	nrc_22
0x000029a6	conditionsNotCorrect
0x000029d3	nrc_31
0x000029db	requestOutOfRange
0x00002a05	nrc_33
0x00002a0d	securityAccessDenied
0x00002a3a	nrc_78
0x00002a42	requestCorrectlyReceived-ResponsePending
0x00002a85	service_22
0x00002a91	ReadDataByIdentifier
0x00002b28	Low Power Mode
0x00002b38	did_4008_subfield_1_data_def_enum_1
0x00002b67	Off
0x00002b6c	did_4008_subfield_1_data_def_enum_2
0x00002b9b	Disabled
0x00002ba5	did_4008_subfield_1_data_def_enum_3
0x00002bd4	Standby
0x00002bdd	did_4008_subfield_1_data_def_enum_4
0x00002c0c	Reporting
0x00002c17	did_4008_subfield_1_data_def_enum_5
0x00002c46	Not Reporting
0x00002c55	did_4008_subfield_1_data_def_enum_6
0x00002c84	Blocked
0x00002c8d	did_4008_subfield_1_data_def_enum_7
0x00002cbc	Initalization
0x00002ccb	did_4008_subfield_1_data_def_enum_8
0x00002cfa	Initalization Complete
0x00002d12	did_4008_subfield_1_data_def_enum_9
0x00002d41	System Faulty
0x00002d50	did_4008_subfield_1_data_def_enum_10
0x00002d83	did_4008_subfield_1_data_def
0x00002dae	did_4008_subfield_1
0x00002dc3	Sensor Operational State
0x00002de5	did_4008
0x00002def	Sensor Operational State
0x00003057	session_01
0x00003063	defaultSession
0x0000316e	session_03
0x0000317a	extendedDiagnosticSession
0x0000319a	service_22_p4_max_00
0x0000330d	session_02
0x00003319	programmingSession
0x00003332	service_22_p4_max_01
0x00003395	nrc_13
0x0000339d	incorrectMessageLengthOrInvalidFormat
0x000033db	nrc_22
0x000033e3	conditionsNotCorrect
0x00003410	nrc_31
0x00003418	requestOutOfRange
0x00003442	nrc_33
0x0000344a	securityAccessDenied
0x00003477	nrc_78
0x0000347f	requestCorrectlyReceived-ResponsePending
0x000034c2	service_22
0x000034ce	ReadDataByIdentifier
0x00003565	No
0x00003569	did_4031_subfield_1_data_def_enum_1
0x00003598	Yes
0x0000359d	did_4031_subfield_1_data_def_enum_2
0x000035cf	did_4031_subfield_1_data_def
0x000035fa	did_4031_subfield_1
0x0000360f	Forced Failure
0x00003648	did_4031_subfield_2_data_def_enum_1
0x0000367b	did_4031_subfield_2_data_def_enum_2
0x000036ad	did_4031_subfield_2_data_def
0x000036d8	did_4031_subfield_2
0x000036ed	Park Aid Fault Condition Invalid
0x00003738	did_4031_subfield_3_data_def_enum_1
0x0000376b	did_4031_subfield_3_data_def_enum_2
0x0000379d	did_4031_subfield_3_data_def
0x000037c8	did_4031_subfield_3
0x000037dd	Lighting Value Invalid
0x0000381a	On
0x0000381e	did_4031_subfield_4_data_def_enum_1
0x0000384d	Off
0x00003852	did_4031_subfield_4_data_def_enum_2
0x00003884	did_4031_subfield_4_data_def
0x000038af	did_4031_subfield_4
0x000038c4	Side Obstacle Detection Main Switch
0x00003912	did_4031_subfield_5_data_def_enum_1
0x00003945	did_4031_subfield_5_data_def_enum_2
0x00003977	did_4031_subfield_5_data_def
0x000039a2	did_4031_subfield_5
0x000039b7	Side Obstacle Buzzer Requirement - Left
0x00003a09	did_4031_subfield_6_data_def_enum_1
0x00003a3c	did_4031_subfield_6_data_def_enum_2
0x00003a6e	did_4031_subfield_6_data_def
0x00003a99	did_4031_subfield_6
0x00003aae	Side Obstacle Buzzer Requirement - Right
0x00003b01	did_4031_subfield_7_data_def_enum_1
0x00003b34	did_4031_subfield_7_data_def_enum_2
0x00003b66	did_4031_subfield_7_data_def
0x00003b91	did_4031_subfield_7
0x00003ba6	Side Obstacle Buzzer Requirement
0x00003bf1	did_4031_subfield_8_data_def_enum_1
0x00003c24	did_4031_subfield_8_data_def_enum_2
0x00003c56	did_4031_subfield_8_data_def
0x00003c81	did_4031_subfield_8
0x00003c96	Right -Off Indicator Requirement
0x00003ce1	did_4031_subfield_9_data_def_enum_1
0x00003d14	did_4031_subfield_9_data_def_enum_2
0x00003d46	did_4031_subfield_9_data_def
0x00003d71	did_4031_subfield_9
0x00003d86	Left -Off Indicator Requirement
0x00003dd0	did_4031_subfield_10_data_def_enum_1
0x00003e04	did_4031_subfield_10_data_def_enum_2
0x00003e37	did_4031_subfield_10_data_def
0x00003e63	did_4031_subfield_10
0x00003e79	Side Obstacle Off Indicator Requirement
0x00003ecb	did_4031_subfield_11_data_def_enum_1
0x00003eff	did_4031_subfield_11_data_def_enum_2
0x00003f32	did_4031_subfield_11_data_def
0x00003f5e	did_4031_subfield_11
0x00003f74	Right Mirror LED
0x00003faf	did_4031_subfield_12_data_def_enum_1
0x00003fe3	did_4031_subfield_12_data_def_enum_2
0x00004016	did_4031_subfield_12_data_def
0x00004042	did_4031_subfield_12
0x00004058	Left Mirror LED
0x0000408e	No (False)
0x0000409a	did_4031_subfield_13_data_def_enum_1
0x000040ca	Yes (True)
0x000040d6	did_4031_subfield_13_data_def_enum_2
0x00004109	did_4031_subfield_13_data_def
0x00004135	did_4031_subfield_13
0x0000414b	Side Obstacle Activation Switch Pressed
0x0000419d	did_4031_subfield_14_data_def_enum_1
0x000041d1	did_4031_subfield_14_data_def_enum_2
0x00004204	did_4031_subfield_14_data_def
0x00004230	did_4031_subfield_14
0x00004246	Left Turn Signal
0x00004281	did_4031_subfield_15_data_def_enum_1
0x000042b5	did_4031_subfield_15_data_def_enum_2
0x000042e8	did_4031_subfield_15_data_def
0x00004314	did_4031_subfield_15
0x0000432a	Right Turn Signal
0x00004366	did_4031_subfield_16_data_def_enum_1
